id,type,domain,surface,env,path,owner,status,last_change,notes
1,asset,WEB,WEB-APP,dev,.gitignore,TBD,ACTIVE,TBD,
2,asset,WEB,WEB-APP,dev,.nojekyll,TBD,ACTIVE,TBD,
3,asset,WEB,WEB-APP,dev,ADMIN_SETUP_GUIDE.md,TBD,ACTIVE,TBD,
4,asset,WEB,WEB-APP,dev,API_DOCUMENTATION.md,TBD,ACTIVE,TBD,
5,asset,WEB,WEB-APP,dev,CREATE_ADMIN_MANUALLY.md,TBD,ACTIVE,TBD,
6,asset,WEB,WEB-APP,dev,DEPLOYMENT_ENHANCEMENTS.md,TBD,ACTIVE,TBD,
7,asset,WEB,WEB-APP,dev,DEPLOYMENT_FIX.md,TBD,ACTIVE,TBD,
8,asset,WEB,WEB-APP,dev,DEPLOYMENT_GUIDE.md,TBD,ACTIVE,TBD,
9,asset,WEB,WEB-APP,dev,DEPLOY_NOW.md,TBD,ACTIVE,TBD,
10,asset,WEB,WEB-APP,dev,ENVIRONMENT_SETUP.md,TBD,ACTIVE,TBD,
11,asset,WEB,WEB-APP,dev,FINAL_ADMIN_SETUP.md,TBD,ACTIVE,TBD,
12,asset,WEB,WEB-APP,dev,FINAL_CHECKLIST.md,TBD,ACTIVE,TBD,
13,asset,WEB,WEB-APP,dev,FINAL_DEPLOYMENT_CHECKLIST.md,TBD,ACTIVE,TBD,
14,asset,WEB,WEB-APP,dev,FINAL_DEPLOYMENT_INSTRUCTIONS.md,TBD,ACTIVE,TBD,
15,asset,WEB,WEB-APP,dev,FINAL_FIXES_REPORT.md,TBD,ACTIVE,TBD,
16,asset,WEB,WEB-APP,dev,FINAL_STATUS_REPORT.md,TBD,ACTIVE,TBD,
17,asset,WEB,WEB-APP,dev,GITHUB_ACTIONS_FIX.md,TBD,ACTIVE,TBD,
18,asset,WEB,WEB-APP,dev,MANUAL_DEPLOYMENT_STEPS.md,TBD,ACTIVE,TBD,
19,asset,WEB,WEB-APP,dev,PERFORMANCE_GUIDE.md,TBD,ACTIVE,TBD,
20,asset,WEB,WEB-APP,dev,PROJECT_SUMMARY.md,TBD,ACTIVE,TBD,
21,asset,WEB,WEB-APP,dev,QUICK_ADMIN_SETUP.md,TBD,ACTIVE,TBD,
22,asset,WEB,WEB-APP,dev,QUICK_DEPLOYMENT_GUIDE.md,TBD,ACTIVE,TBD,
23,asset,WEB,WEB-APP,dev,README.md,TBD,ACTIVE,TBD,
24,asset,WEB,WEB-APP,dev,SECURITY_GUIDE.md,TBD,ACTIVE,TBD,
25,asset,WEB,WEB-APP,dev,SIMPLE_DEPLOY.md,TBD,ACTIVE,TBD,
26,asset,WEB,WEB-APP,dev,TESTING_GUIDE.md,TBD,ACTIVE,TBD,
27,asset,WEB,WEB-APP,dev,TODO.md,TBD,ACTIVE,TBD,
28,asset,WEB,WEB-APP,dev,backend-setup.md,TBD,ACTIVE,TBD,
29,code,WEB,WEB-APP,dev,check-setup.js,TBD,ACTIVE,TBD,
30,code,WEB,WEB-APP,dev,create-admin.html,TBD,ACTIVE,TBD,
31,code,WEB,WEB-APP,dev,create-admin.js,TBD,ACTIVE,TBD,
32,asset,WEB,WEB-APP,dev,deploy.bat,TBD,ACTIVE,TBD,
33,code,WEB,WEB-APP,dev,deploy.js,TBD,ACTIVE,TBD,
34,asset,WEB,WEB-APP,dev,deploy.ps1,TBD,ACTIVE,TBD,
35,asset,WEB,WEB-APP,dev,final-deploy.bat,TBD,ACTIVE,TBD,
36,asset,WEB,WEB-APP,dev,final-deploy.ps1,TBD,ACTIVE,TBD,
37,code,WEB,WEB-APP,dev,index.html,TBD,ACTIVE,TBD,
38,asset,WEB,WEB-APP,dev,manifest.webmanifest,TBD,ACTIVE,TBD,
39,code,WEB,WEB-APP,dev,package.json,TBD,ACTIVE,TBD,
40,asset,WEB,WEB-APP,dev,robots.txt,TBD,ACTIVE,TBD,
41,code,WEB,WEB-APP,dev,script.js,TBD,ACTIVE,TBD,
42,code,WEB,WEB-APP,dev,setup-admin.js,TBD,ACTIVE,TBD,
43,code,WEB,WEB-APP,dev,simple-check.js,TBD,ACTIVE,TBD,
44,asset,WEB,WEB-APP,dev,sitemap.xml,TBD,ACTIVE,TBD,
45,code,WEB,WEB-APP,dev,style.css,TBD,ACTIVE,TBD,
46,code,WEB,WEB-APP,dev,sw.js,TBD,ACTIVE,TBD,
47,code,WEB,WEB-APP,dev,webstore_full_bundle.json,TBD,ACTIVE,TBD,
48,code,WEB,WEB-APP,dev,admin/admin.css,TBD,ACTIVE,TBD,
49,code,WEB,WEB-APP,dev,admin/admin.js,TBD,ACTIVE,TBD,
